valid_time,u10,v10,t2m,msl,sst,avg_sdswrf,number,latitude,longitude,expver,wind_speed
2019-01-11 18:00:00,-0.92167854,-3.5406017,8.919098,102069.92,14.738251,0.0,0,35.05,129.05,0001,3.6585999
2019-01-12 00:00:00,0.15872371,-6.2161446,7.8766174,102075.99,15.175201,24.506409,0,35.05,129.05,0001,6.2181706
2019-01-12 06:00:00,2.2659864,-4.0970707,8.97348,101905.484,15.175201,281.63086,0,35.05,129.05,0001,4.681953
2019-01-12 12:00:00,1.4693905,-6.9683905,7.384186,102118.45,15.175201,0.0,0,35.05,129.05,0001,7.121627
2019-01-12 18:00:00,1.2829733,-6.7247667,6.667877,102214.66,15.175201,0.0,0,35.05,129.05,0001,6.846058
2019-01-13 00:00:00,1.9730569,-5.360693,6.563629,102374.89,15.239899,104.08333,0,35.05,129.05,0001,5.712266
2019-01-13 06:00:00,-0.06291485,-3.7557192,10.450104,102245.48,15.239899,325.4724,0,35.05,129.05,0001,3.756246
2019-01-13 12:00:00,0.24771553,-4.449314,8.724518,102386.34,15.239899,0.0,0,35.05,129.05,0001,4.4562044
2019-01-13 18:00:00,0.71808434,-4.5484304,6.5746155,102429.81,15.239899,0.0,0,35.05,129.05,0001,4.6047654
2019-01-14 00:00:00,1.3493965,-3.731161,6.273102,102564.44,14.613983,125.05632,0,35.05,129.05,0001,3.9676735
2019-01-14 06:00:00,0.2726869,-0.397192,10.0468445,102322.73,14.613983,445.8872,0,35.05,129.05,0001,0.48178795
2019-01-14 12:00:00,2.3023233,1.8941467,8.900787,102298.92,14.613983,0.0,0,35.05,129.05,0001,2.9813561
2019-01-14 18:00:00,5.828315,1.0018998,7.919098,102133.414,14.613983,0.0,0,35.05,129.05,0001,5.913802
2019-01-15 00:00:00,3.6781788,-2.4630728,5.7346497,102182.914,14.714325,106.81358,0,35.05,129.05,0001,4.426706
2019-01-15 06:00:00,5.253355,0.09898478,8.890228,101986.92,14.714325,462.58154,0,35.05,129.05,0001,5.2542872
2019-01-15 12:00:00,7.5511723,-2.944538,5.8663635,102099.59,14.714325,0.0,0,35.05,129.05,0001,8.104968
2019-01-15 18:00:00,6.0328636,-7.7861004,-0.05404663,102394.98,14.714325,0.0,0,35.05,129.05,0001,9.8498125
2019-01-16 00:00:00,2.543419,-5.6535797,-0.48104858,102533.78,14.740448,135.21855,0,35.05,129.05,0001,6.1993504
2019-01-16 06:00:00,2.8613663,-3.8714857,4.250458,102246.29,14.740448,475.2754,0,35.05,129.05,0001,4.814127
2019-01-16 12:00:00,4.2620573,-4.3620853,2.3175354,102337.33,14.740448,0.0,0,35.05,129.05,0001,6.0986
2019-01-16 18:00:00,6.54459,-5.315789,1.5119934,102312.05,14.740448,0.0,0,35.05,129.05,0001,8.431445
2019-01-17 00:00:00,5.462413,-2.8755188,2.49234,102314.76,14.606354,130.37538,0,35.05,129.05,0001,6.173051
2019-01-17 06:00:00,6.9170246,-3.592082,7.0288696,102024.28,14.606354,466.38843,0,35.05,129.05,0001,7.7941184
2019-01-17 12:00:00,4.5967197,-5.783949,4.822418,102378.94,14.606354,0.0,0,35.05,129.05,0001,7.3880916
2019-01-17 18:00:00,4.300871,-6.0703907,3.2877502,102580.266,14.606354,0.0,0,35.05,129.05,0001,7.439565
2019-01-18 00:00:00,2.5785131,-4.742488,3.9241028,102807.72,14.540741,131.91238,0,35.05,129.05,0001,5.398141
2019-01-18 06:00:00,3.4721193,-0.29228473,8.557465,102510.88,14.540741,470.7317,0,35.05,129.05,0001,3.4843998
2019-01-18 12:00:00,3.1487637,0.2604378,7.3955383,102644.44,14.540741,0.0,0,35.05,129.05,0001,3.1595159
2019-01-18 18:00:00,1.4911251,-1.1211615,6.6524963,102527.375,14.540741,0.0,0,35.05,129.05,0001,1.8655983
2019-01-19 00:00:00,2.5009003,-0.5618334,7.0812073,102557.14,14.532684,131.09375,0,35.05,129.05,0001,2.5632322
2019-01-19 06:00:00,3.012474,1.3214562,10.4956665,102103.5,14.532684,382.8274,0,35.05,129.05,0001,3.2895663
2019-01-19 12:00:00,1.0597695,0.010839462,9.115265,101865.15,14.532684,0.0,0,35.05,129.05,0001,1.059825
2019-01-19 18:00:00,3.4488764,-3.7889853,8.098297,101582.516,14.532684,0.0,0,35.05,129.05,0001,5.1235886
2019-01-20 00:00:00,5.228239,-3.604721,6.846405,101792.305,14.3576355,128.83766,0,35.05,129.05,0001,6.3504725
2019-01-20 06:00:00,6.1528015,-4.281128,8.025299,101766.695,14.3576355,480.17493,0,35.05,129.05,0001,7.495667
2019-01-20 12:00:00,4.4985666,-5.6214905,3.254181,102083.99,14.3576355,0.0,0,35.05,129.05,0001,7.199879
2019-01-20 18:00:00,6.3528204,-7.179639,1.1714172,102195.3,14.3576355,0.0,0,35.05,129.05,0001,9.586738
2019-01-21 00:00:00,4.674711,-4.436145,1.4083557,102278.37,14.120331,136.73112,0,35.05,129.05,0001,6.444556
